apple,facebook
113.949997,129.229996
112.180000,128.089996
113.050003,128.270004
112.519997,128.770004
113.000000,128.190002
113.050003,128.470001
113.889999,128.740005
114.059998,128.990005
116.050003,130.240005
116.300003,128.880005
117.339996,129.050003
116.980003,127.820000
117.629997,127.879997
117.550003,127.540001
117.470001,128.570007
117.120003,130.110001
117.059998,130.000000
116.599998,132.070007
117.650002,133.279999
118.250000,132.289993
115.589996,131.039993
114.480003,129.690002
113.720001,131.289993
113.540001,130.990005
111.489998,129.500000
111.589996,127.169998
109.830002,120.000000
108.839996,120.750000
110.410004,122.150002
111.059998,124.220001
110.879997,123.180000
107.790001,120.800003
108.430000,119.019997
105.709999,115.080002
107.110001,117.199997
109.989998,116.339996
109.949997,117.790001
110.059998,117.019997
111.730003,121.769997
111.800003,121.470001
111.230003,120.839996
111.790001,120.379997
111.570000,120.410004
111.459999,120.870003
110.519997,118.419998
109.489998,115.099998
109.900002,115.400002
109.110001,117.430000
109.949997,117.309998
111.029999,117.949997
112.120003,118.910004
113.949997,119.680000
113.300003,117.769997
115.190002,120.309998
115.190002,120.209999
115.820000,120.570000
115.970001,119.870003
116.639999,119.239998
116.949997,119.089996
117.059998,119.040001
116.290001,117.400002
116.519997,117.269997
117.260002,118.010002
116.760002,116.919998
116.730003,116.349998
115.820000,115.050003
116.150002,116.860001
116.019997,118.690002
116.610001,120.669998
117.910004,123.410004
118.989998,124.900002
119.110001,124.349998
119.750000,126.089996
119.250000,126.620003
119.040001,128.339996
120.000000,127.870003
119.989998,127.919998
119.779999,127.550003
120.000000,127.040001
120.080002,128.929993
119.970001,129.369995
121.879997,131.479996
121.940002,132.779999
121.949997,132.179993
121.629997,130.979996
121.349998,130.320007
128.750000,133.229996
128.529999,130.839996
129.080002,130.979996
130.289993,132.059998
131.529999,131.839996
132.039993,134.199997
132.419998,134.139999
132.119995,134.190002
133.289993,134.050003
135.020004,133.850006
135.509995,133.440002
135.350006,133.839996
135.720001,133.529999
136.699997,133.720001
137.110001,136.119995
136.529999,135.360001
136.660004,135.440002
136.929993,136.410004
136.990005,135.539993
139.789993,137.419998
138.960007,136.759995
139.779999,137.169998
139.339996,137.419998
139.520004,137.300003
139.000000,137.720001
138.679993,138.240005
139.139999,138.789993
139.199997,139.600006
138.990005,139.320007
140.460007,139.720001
140.690002,139.990005
139.990005,139.839996
141.460007,139.940002
139.839996,138.509995
141.419998,139.589996
140.919998,139.529999
140.639999,140.339996
140.880005,140.320007
143.800003,141.759995
144.119995,142.649994
143.929993,142.410004
143.660004,142.050003
143.699997,142.279999
144.770004,141.729996
144.020004,141.850006
143.660004,141.169998
143.339996,140.779999
143.169998,141.039993
141.630005,139.919998
141.800003,139.580002
141.050003,139.389999
141.830002,141.419998
141.199997,140.960007
140.679993,142.270004
142.440002,143.800003
142.270004,143.679993
143.639999,145.470001
144.529999,146.490005
143.679993,146.559998
143.789993,147.699997
143.649994,150.250000
146.580002,152.460007
147.509995,152.779999
147.059998,151.800003
146.529999,150.850006
148.960007,150.240005
153.009995,151.059998
153.990005,150.479996
153.259995,150.289993
153.949997,150.039993
156.100006,150.330002
155.699997,150.190002
155.470001,149.779999
150.250000,144.850006
152.539993,147.660004
153.059998,148.059998
153.990005,148.240005
153.800003,148.070007
153.339996,150.039993
153.869995,151.960007
153.610001,152.130005
153.669998,152.380005
152.759995,151.460007
153.179993,151.529999
155.449997,153.610001
153.929993,153.630005
154.449997,152.809998
155.369995,153.119995
154.990005,154.710007
148.979996,149.600006
145.419998,148.440002
146.589996,150.679993
145.160004,150.250000
144.289993,149.800003
142.270004,150.639999
146.339996,152.869995
145.009995,152.250000
145.869995,153.910004
145.630005,153.399994
146.279999,155.070007
145.820007,153.589996
143.729996,150.580002
145.830002,153.240005
143.679993,151.039993
144.020004,150.979996
143.500000,148.429993
144.089996,150.339996
142.729996,148.820007
144.179993,151.440002
145.059998,153.500000
145.529999,155.270004
145.740005,158.899994
147.770004,159.259995
149.039993,159.970001
149.559998,159.729996
150.080002,162.860001
151.020004,164.139999
150.339996,164.529999
150.270004,164.429993
152.089996,166.000000
152.740005,165.279999
153.460007,165.610001
150.559998,170.440002
149.500000,172.449997
148.729996,169.250000
150.050003,169.860001
157.139999,169.300003
155.570007,168.589996
156.389999,169.619995
158.809998,171.979996
160.080002,171.229996
161.059998,171.179993
155.320007,167.399994
157.479996,168.080002
159.850006,170.750000
161.600006,171.000000
160.949997,170.000000
157.860001,166.910004
157.500000,167.410004
157.210007,167.779999
159.779999,169.639999
159.979996,168.710007
159.270004,167.740005
159.860001,166.320007
161.470001,167.240005
162.910004,168.050003
163.350006,169.919998
164.000000,171.970001
164.050003,172.020004
162.080002,170.720001
161.910004,172.089996
161.259995,173.210007
158.630005,170.949997
161.500000,173.509995
160.860001,172.960007
159.649994,173.050003
158.279999,170.960007
159.880005,171.639999
158.669998,170.009995
158.729996,172.520004
156.070007,172.169998
153.389999,171.110001
151.889999,170.539993
150.550003,162.869995
153.139999,164.210007
154.229996,167.679993
153.119995,168.274994
